데이,표제어,예문,동의어1,동의어2,동의어3,동의어4,동의어5
32,landscape,The inconsistent city planning in the last decades damaged Seoul sity's landscape.,outlook,prospect,scene,scenery,view
32,amerce,"The court amerced him in the sum of 5,000 won.",fine,,,,
32,cluster,"There, they found several clusters of pre-galactic fragments, which they named ""teenager galaxies.""",assemblage,band,group,knot,
32,flip-flop,The ruling party did a flip-flop in several key issues.,about-face,revert,,,
32,peremptory,Public officials should not generally issue peremptory commands to people.,imperious,overbearing,,,
32,track,It may be easier to track an animal after rain because paw prints will show up in wet ground.,chase,follow,pursue,,
32,remorse,The drunken driver was filled with remorse for having caused the fatal injuries to the child.,regret,repentance,compunction,,
33,bewilder,She was bewildered by his questions about her private life.,perplex,confuse,,,
33,earthly,The philosopher said we should not disdain earthly pleasures.,mundane,secular,worldly,,
33,shimmer,"Claude Monet's paintings are always blurry and vague. He paints this way deliberately, because he wants to capture the way sunlight makes things shimmer.",glitter,luster,sheen,,
33,petition,His lawyers filed a petition for all charges to be dropped.,entreaty,plea,suit,supplication,
33,remiss,"Because he had so many problems on his mind, he was remiss in performing his duties.",careless,delinquent,negligent,,
33,sue,His wife sued for divorce.,accuse,charge,indict,litigate,prosecute
33,accessory,"Certain parents consider their child to be a new status symbol, an accessory to their own brilliance.",adjunct,appendix,appurtenance,,
33,jest,Many a true word is spoken in jest.,joke,prank,,,
33,sought-after,The Academy Awards remain the most sought-after and highest honor for all actors.,desirable,in demand,popular,,
33,tease,Her face became flushed all at once as her friends teased her.,annoy,bait,harass,mock,tantalize
33,phony,He telephoned with some phony excuse she didn't believe for a minute.,bogus,counterfeit,fake,sham,
33,relate,Uzbek is closely related to other Central Asian languages.,associate,connect,correlate,link,
33,snug,The room looked neat and snug.,comfortable,comfy,cozy,homely,intimate
33,crude,"In the nineteenth century, American literature was only just maturing and most of it was still crude.",fledgling,immature,unformed,,
33,newfangled,She just bought one of those newfangled computers that can talk.,state-of-the-art,fashionable,in vogue,,
33,emblazon,Parents crowd the bookstore to buy baseball caps emblazoned with school insignia.,adorn,decorate,ornament,,
33,decree,The Russian Federation has issued a decree abolishing special privileges for government officials.,edict,injunction,statute,,
33,slovenly,He does everything in a slovenly way.,unkempt,untidy,,,
33,gizmo,Some Cadillacs have a gizmo that senses oncoming headlights and switches your high beams to low.,gadget,gimmick,,,
33,unintended,Processed food has unintended side effects on the environment and our health.,accidental,unconscious,unintentional,,
33,angst,Unreliable college entrance grading system causes angst among parents and students,anxiety,distress,worry,,
33,preach,She used to preach against using violence among students.,advise,counsel,teach,,
33,tawdry,"White Castle, the nation's first hamburger chain, worked hard in the 1920s to dispel the hamburger's tawdry image.",base,mean,vulgar,,
33,outrun,He let his zeal outrun discretion.,exceed,surpass,,,
33,exception,There is no law without exception.,exclusion,,,,
33,castigate,He castigated himself for being so stupid.,criticize,,,,
33,hypocrisy,"Journalism is still one of the strongest defenses against tyranny, corruption and hypocrisy.",deceit,deceeption,insincerity,pretense,
33,condign,We expect the swindlers to face prosecution and condign punishment.,adequate,appropriate,deserved,,
33,lavish,He's never very lavish with his praises.,generous,munificent,,,
33,lavish,"Paley was aloof with employees, cold to his children and lavish in his perosnal lifestyle.",extravagant,prodigal,wasteful,,
33,lavish,Young birds lavished great attention and acare on elderly or infirm parents.,heap,pour,,,
33,fair,It is not fair to say that men should work longer than women.,just,impartial,reasonable,unbiased,
33,fair,Some broadcasting companies and news organizations sponsored a job fair.,exhibition,exposition,,,
33,controversy,Her latest book has engendered a lot of controversy.,dispute,quarrel,wrangle,,
33,vainglorious,"If you describe someone as vainglorious, you are critical of them because they are very proud of what they have done and boast a lot about it.",conceited,hubristic,vain,,
33,compartment,The flight crew are required to ensure that all carry-on luggage is safely stowed in approved compartments.,division,section,,,
33,address,The root causes of the problem must be addressed.,deal with,,,,
33,indelible,the vicious ideology and practice of white supremacy has left its indelible mark on all spheres of American life.,enduring,ingrained,permanent,,
33,meager,"Meals are meager, consisting of a few chicken wings, served wwith vegetables and rice.",poor,,,,
33,meager,Meager snowfall this winter has left the region vulnerable to drought as it enters what at are usually its driest months.,insufficient,scanty,,,
33,panegyric,The essay on your friends does not necessarily have to be a panegyric to your classmates.,encomium,eulogy,praise,tribute,
33,degrade,The ancinet Greeeks attributed to music the capacity to strengthen or degrade people's character.,debase,demean,,,
33,raze,The whole village was razed to the ground in the war.,demolish,destroy,tear down,,
33,omnipotent,The bible tells us the god is omnipotent and omniscient.,all-powerful,almighty,,,
33,avert,"In these cultures, children are taught from a young age to avert eyes and avoid direct eye contact.",turn away,,,,
33,avert,The aim of the current round of talks is to promote free trade and to avert the threat of increasing protectionism.,avoid,fend off,prevent,ward off,
33,torso,"The man suffered burns to his arms, legs and torso.",body,trunk,,,
34,well-to-do,"To these well-to-do people, highter prices mean better quality.",affluent,rich,wealthy,well-off,
34,correspond,His words and actions do not correspond.,accord,coincide,,,
34,correspond,The broad lines on the map correspond to roads.,be equal to,be equivalent to,match,,
34,correspond,We have corresponded but never met.,communicate,,,,
34,magnate,Bin Laden was the son of a multi-milloionaire Saudi construction magnate.,mogul,tycoon,,,
34,spacious,"The house has a spacious kitchen and dining area, but I does not have many closets.",capacious,commodious,roomy,,
34,alien,"When I first went to New York, it all felt very alien to me.",foreign,inappropriate,incongruous,,
34,alien,"Recently, astronomers have detected an alien planet.",extramundane,extraterrestrial,,,
34,deduce,The date of the document can be deduced from references to the Civil War.,infer,persume,reason,,
34,pier,We stood on the pier and watched as they embarked.,dock,harbor,waterfront,wharf,
34,impecunious,He discovered that bad investments had made him impecunious overnight.,destitute,penniless,penurious,,
34,vogue,Short hair has come back into vogue.,fashion,popularity,trend,,
34,bespeak,His style of dressing bespoke great self-confidence.,hint,imply,indicate,show,
34,sortition,The real effect of sortition was to equalize the chance without strife.,draw,lottery,raffle,sortilege,
34,cognizant,The judge said he was not cognizant of the case.,aware,conscious,,,
34,hegemony,It is not desirable for China and Japen to fight for regional and blobal hegemony in order to maintain peace and stability in Asia and the world.,dominion,supremacy,,,
34,distinguished,Tom Johnson was distinguished both as a critic and as a writer.,outstanding,,,,
34,rancor,"Despite all the rancor, I think peace is possible in the Mideast.",animosity,animus,enmity,hatred,
34,ooze,"Seeing a strange fluid oozing out of a cut on his arm, Greg realized that the wound was infected.",exude,seep,,,
34,infectious,"He has an infectious laugh; when he starts laughing, everyone starts laughing.",catching,communicable,contagious,,
34,bias,Reporters must be impartial and not show political bias.,bent,preconception,prejudice,,
34,bias,The newspapers have biased people against her.,slant,,,,
34,germinate,Seeds strewn on the field began to germinate.,bud,sprout,,,
34,germinate,An idea for a novel began to germinate in her mind.,originate,,,,
34,advisable,Stopping drinking is advisable for the health of your body and spirit.,desirable,prudent,wise,,
34,retard,"Some jobs promote personal growth, while others retard it.",delay,slow down,,,
34,kickback,He received a kickback in return for turning a blind eye to their corruption.,backhander,bribe,graft,payoff,
34,teem,"For most of the year, the area is teeming with tourists who come from all over the world to seek enjoyment and refresment.",abound,crowd,swarm,,
34,leftover,"When going to the restaurant, bring glass or steel container to package leftovers.",dregs,remainder,remnant,residue,
34,acclimate,We found it impossible to acclimate ourselves to the new working conditions.,adapt,adjust,,,
34,repellent,Everything about him was repellent to her.,loathsome,offensive,unpleasant,,
34,dictator,The dictator obliterated anyone who opposed his power.,autocrat,despot,tyrant,,
34,shiver,The gruesome sight sent a shiver down my spine.,quiver,shake,shudder,tremble,
34,crisscross,He crisscrossed the country to support opposition parties in the run-up to the general elections.,go here and there,,,,
34,anarchy,The death of the king was followed by a year of anarchy.,chaos,disorder,lawlessness,,
34,extend,The play was so popular that its run was extended earlier this year.,lengthen,prolong,,,
34,sanguinary,There was a sanguinary collision between the unionists and the police.,bloody,blood-and-guts,gory,brutal,
34,function,The family has the important function of socializing children.,purpose,role,,,
34,function,"Despite the power cuts, the hospital continued to function normally.",work,operate,,,
34,penitentiary,He was released from Oregon State Penitentiary in 2021.,jail,prison,,,
34,elated,He was elated to hear that he would be promoted.,jubilant,overjoyed,,,
34,impulse,I was seized by a sudden impulse to jump into the water.,drive,inclination,urge,,
34,throb,Her heart throbbed with excitement at the thought of traveling abroad for the first time.,beat,palpitate,pound,pulsate,
34,starry-eyed,Entrepreneurs and starry-eyed innvestors had fueled the bubble.,dreaming,fanciful,,,
34,appropriate,I don't think jeans are appropriate attire for the party.,apt,fit,pertinent,proper,relevent
34,appropriate,Don't appropriate others' ideas.,embezzle,misappropriate,peculate,,
34,paramount,The safety of firefighters is of paramount importance during emergencies.,chief,prime,principal,,
34,meet,Energy demands cannot be met without a new power plant.,content,satisfy,,,
34,ensconce,"Seeing her father, she ensconced herself behind the door.",conceal,cover,hide,stash,
35,fascinate,"Gold has fascinated people for centuries, because it is scarce and it can be made into beautiful ornaments which never lose their luster.",attract,captivate,charm,enchant,enthrall
35,disgust,I can only feel disgust for these criminals.,hatred,loathing,revulsion,,
35,indispensable,Cars have become an indispensable part of our lives.,crucial,essential,necessary,vital,
35,compute,"To compute your scores, merely add or subtract your scores for each item.",calculate,count,,,
35,watchword,"Enthusiam, appreciation and participation were the watchwords at the festival.",motto,shibboleth,slogan,,
35,sheer,The concert was sheer delight.,pure,,,,
35,elapse,"Next week, three months will have elapsed since we last met.",go by,pass,,,
35,pirate,A sniper fired an aimed shot at a pirate,buccaneer,freebooter,,,
35,pirate,"If you like the artists, don't pirate their music.",crib,plagiarize,,,
35,nonpareil,The legendary tennis plater was a nonpareil on the tennis court.,incomparable,unequaled,unparalleled,,
35,summary,The student developed an app that makes summaries of news stories.,abstract,digest,outline,synopsis,
35,maritime,"Today, maritime trannsport plays a fundamental role in trade.",marine,nautical,oceanic,sesafaring,
35,amiable,His health was impaired because of the long hours he worked.,damage,undermine,,,
35,amiable,"He is an amiable man, yet it is strange that no one specially likes him.",affable,agreeable,friendly,,
35,remuneration,He will not take the job even if the remuneration is generous.,pay,reward,,,
35,deliver,He delivered a course of lectures on world affairs.,address,announce,,,
35,deliver,She delivered a healthy girl after a long labor.,bear,,,,
35,deliver,The hero delivered us from evil.,relieve,save,,,
35,audible,She spoke so quiety that her voice was not audible to them.,hearable,,,,
35,recede,"The rain front receded temporarily, but hit the southern region last weekend again.",retreat,,,,
35,recede,Our economical situation got stuck and started to recede.,abate,wane,,,
35,somnolent,Because of his somnolent voice students find it difficult to concentrate in his classes.,sleepy,soporific,,,
35,bemoan,"Die-hard beer fans bemoan the decline of real British beer, driven by the rapidly globalizing international drinks.",bewail,deplore,lament,,
35,pending,The bill has been pending for the past eight months due to the conflicting interests of the parties concerned.,undecided,unsettled,up in the air,,
35,swift,The White House was swift to deny the rumors.,expeditious,fast,quick,rapid,speedy
35,thrall,He is in thrall to his work.,bondage,servitude,slavery,,
35,altitude,The mountain is only 205 meters in altitude above sea level.,elevation,height,,,
35,utterly,The rich are utterly indifferent to the poor people.,absolutely,completely,totally,,
35,victual,I'm starving - did we bring any victuals with us?,comestibles,edibles,food,provisions,viands
35,pernicious,The cuts in government funding have had a pernicious effect on local health services.,baneful,deadly,harmful,ruinous,
35,administer,We need to administer our system much more tightly against hacking.,govern,superintend,supervise,,
35,laissez-faire,Laissez-faire is associated with free-market economies because it supports free trade and discourages tariffs and subsides.,permissive,,,,
35,saturate,"Unfortunately, television programming is saturated with violence.",charge,imbue,impregnate,,
35,depreciate,New cars start to depreciate as soon as they are on the road.,debase,devalue,,,
35,depreciate,I had no intention of depreciating your contribution.,belittle,disparage,,,
35,rash,She soon regretted her rash decision to get married.,foolhardy,hasty,reckless,thoughtless,
35,credo,I strongly agree with her basic stance and her credo.,belief,creed,doctrine,dogma,
35,obscure,The student's writing is so obscure that it is very hard to understand.,ambiguous,murky,vague,,
35,obscure,He is fascinated with an obscure 17th century poet.,unknown,,,,
35,obscure,"In his life time, Vincent van Gogh's ability was obscured by his contemporary.",conceal,hide,,,
35,gale,Our garden fence was blown over by the gale.,storm,,,,
35,bankruptcy,Poor sales forced the company to declarer bankruptcy.,crash,failure,insolvency,liquidation,ruin
35,hermetic,Canned foods have a hermetic seal.,airtight,completely sealed,,,
35,dodge,He rushed at me but I managed to dodge his attack.,avoid,duck,elude,evade,shun
35,calumniate,The priests calumniated him horribly because he was greedy for money.,asperse,defame,libel,malign,slander
35,thick,People wear thick clothes and heat their houses to stay warm.,broad,bulky,,,
35,fowl,It's when humans live in close proximity to their fowls everyday that the avian flu is most likely to break out.,poultry,,,,
35,lessen,Warm milk will lessen the tension before you sleep.,decrease,diminish,lower,reduce,
35,pageant,All parents are expected to participate in the elementary school pageant this year.,parade,procession,,,
35,common,I have a lot in common with the friend.,collective,joint,mutual,,
35,common,The notion is fairly common that there is a fundamental conflict between science and religion.,ordinary,plain,usual,,
35,common,The elegant princess has complained about Duchess Sarah Norton's common accent.,inferior,low,vulgar,,
35,topography,"Spacecraft will snap photos, study Mercury's chemical makeup, topography and magnetic field.",landform,terrain,,,
35,embroil,The country became embroiled in a bitter civil war which lasted almost until1995,complicate,entangle,implicate,involve,
35,inexhaustible,Natural resources are not inexhaustible.,infinite,limitless,,,
36,circulate,"About 250,000 dollars in counterfeit money circulates each day in America.",disseminate,distribute,spread,,
36,unflagging,"Due to the unflagging efforts of the rescue team, the children were found after a few hours.",indefatigable,inexhaustible,tireless,,
36,denotation,"The denotaion of slender and skinny is thin, but slender connotes approval an skinny, disapproval.",signification,,,,
36,navigate,"Today, countries that navigate on the right hand side of the road outnumber those that navigate on the left.",drive,pilot,steer,,
36,acoustic,The sound of rain makes us fall asleep more easily as it handles acoustic stillness and blocks noise around them.,audial,auditory,aural,,
36,skip,"Sometimes, people are so busy that they skip meals.",leave out,miss out,omit,,
36,corrupt,Seoul was ranked one of the most corrupt cities in the nation.,decayed,rotten,tainted,vitiated,
36,waterproof,The backpack is made from waterproof polyurethane.,impermeable,impervious,watertight,,
36,skittish,"Known to fishermen as the king of fish, salmon are a skittish, unpredictable species.",fickle,whimsical,,,
36,implement,Franklin D. Roosevelt implemented New Deal programs in the 1930s and helped to lift the country out of the Great Depression.,execute,fulfill,put in practice,,
36,errand,The woman has an errand to do in town.,aim,goal,object,purpose,
36,errand,The messenger returned without accomplishing his errand.,mission,,,,
36,dread,The fear of the number 13 is similar to what we see in Eastern countries - a dread of the number four.,alarm,fear,fright,horror,terror
36,sartorial,"Oddly enough, one of the best symbols of the new face of the Roman Empire was sartorial.",vestiary,,,,
36,flaw,No one is perfect and everyone has flaws.,defect,fault,imperfection,weakness,
36,bent,We all come into this life with a natural bent toward believing what others tell us.,aptitude,disposition,inclination,,
36,bent,Iran was hell bent on producing nuclear weapons.,crooked,curved,twisted,,
36,bent,"Now an adult, she is bent on avenging her parent' death.",intent,determined,,,
36,antipathy,I began to feel antipathy toward him after he rejected my offer.,loathing,abhorrence,aversion,hatred,repugnance
36,durable,"The glasses are durable, so people can use them for a long time.",enduring,lasting,sturdy,,
36,infinite,No country has infinite resources.,innumerable,numerous,,,
36,hurl,"When I was on the track team, I used to hurl the javelin.",fling,throw,,,
36,collapse,He collapsed in the street and died two hours later.,faint,swoon,,,
36,collapse,The collapse of the building was due to shoddy construction.,breakdown,debacle,downfall,,
36,advocate,The professor advocates eliminating smaller debts first even if they have a lower interest rate.,champion,defend,espouse,suppport,
36,advocate,He's strong advocate of state ownership of the railroads.,defender,promoter,proponent,supporter,
36,inverse,Temperature is in inverse ratio to the altitude.,contrary,converse,opposite,reverse,
36,perplex,His strange silence perplexed me.,bewilder,,,,
36,opposite,I could see smoke coming from the windows of the house directly opposite.,facing,,,,
36,opposite,The result was opposite to what we expected.,conflicting,opposed,,,
36,versatile,"He may not be much of an artist, but he is an exceptionally versatile man.",skilled,,,,
36,versatile,"In industry, the laser has proven to be a very versatile tool, particularly for cutting and welding.",all-purpose,multipurpose,,,
36,caliber,That little boy has caliber of higher order.,ability,capacity,competence,,
36,caliber,"Except that you are missing 3 pages of work, your portfolio appears to be of high caliber.",quality,,,,
36,employ,"At its zenith, GM employed hundreds of thousands, Facebook, fewer than 10,000.",engage,hire,,,
36,shortsighted,He can't read anything on the board without glasses because he is shortsighted.,myopic,nearsighted,,,
36,shortsighted,"Aside from its shortsighted demands for wage hikes and other benefits, the union has been criticized for various moral lapses.",improvident,,,,
36,procession,More than two million people joined his funeral procession in Paris.,cavalcade,cortege,march,parade,
36,mediocre,Her performance was mediocre at best.,average,commonplace,,,
36,mediocre,"If I was so mediocre, how come I was making several hundred thousand dollarsa a year in salary and bonus?",second-rate,,,,
36,hazy,Some dank days are informally tagged as foggy or hazy when they're actually just dirty.,dim,misty,,,
36,trance,The audience completely fell into a trance by his song.,ecstasy,rapture,,,
36,liberate,The new government has liberated all political prisoners.,free,loose,emancipate,,
36,recumbent,She was recumbent on the chaise longue.,reclining,,,,
36,sentiment,Public sentiment is against any change to the law.,emotion,feeling,sensibility,,
36,peel,Japanese scientists studied how slippery a banana peel is when peope step on it,rind,skin,,,
36,majority,A clear majority of voters were in favor of the motion.,bulk,mass,,,
36,ferocious,By its very nature a lion is ferocious.,cruel,fierce,savage,,
36,abuse,"Whether abused by family members or tormented by other kids, bullies typically learn their behavior from others.",ill-treat,maltreat,mistreat,,
36,abuse,He was arrested on charges of corruption and abuse of power.,misuse,,,,
36,replace,The new design will eventually replace all existing models.,supersede,supplant,,,
36,replace,The man replaced borrowed money.,repay,return,,,
36,blithe,He drove with blithe disregard for the rules of the road.,carefree,careless,,,
36,red tape,"He was previously employed with the government, which is surprising considering he hates red tape.",bureaucracy,officialdom,,,
36,palatial,"The area was booming, complete with polo and cricket fields, palatial hotles, and sumptuous homes.",lavish,lush,luxurious,splendid,
36,screen,A growing number of companies are taking a computerized approach to screening resumes.,examine,investigate,select,,
36,toll,"Anti-government activists said the explosion was caused by a bomb in a car or minibus, and they put the death toll between 9 and 11.",cost,damage,loss,,
37,valid,Only the signed documents are considered valid.,authentic,lawful,legitimate,,
37,amass,Karen's aptitude for business enabled her to amass a small fortune before she was thirty.,accumulate,garner,gather,hoard,
37,emblem,"Real or imagined , Nessie has long been a Scottish emblem.",badge,insignia,regalia,symbol,
37,sentinel,"The puppy barked when a customer came in, taking on the role of a sentinel that no one had assigned it.",guard,,,,
37,impervious,The coat is made of fabric impervious to water.,impenetrable,,,,
37,impervious,The new boss is so arrogant that he is copletely impervious to all criticism.,immune,insusceptible,,,
37,timber,This timber is durable enough to make a desk.,lumber,wood,,,
37,relieve,This pill will relieve your headaches.,alleviate,assuage,lessen,,
37,relieve,He was relieved of his office.,discharge,,,,
37,eponymous,Isabella Rose Taylor is same as other teenagers who try to follow the latest fashion except that she has her own eponymous clothing line.,eponymic,,,,
37,superb,Hangul has been recognized as a superb and unique language.,excellent,,,,
37,woo,The group wooed young Americans with jihadist videos that appealed to religious ideals.,seek,solicit,,,
37,pessimistic,His pessimistic attitude worsened his illness.,bleak,fatalistic,gloomy,,
37,encapsulate,"The speaker encapsulated his main thoughts first, and then gave the details.",abbreviate,condense,epitomize,summarize,
37,refrigerate,Many restaurant foods are prepared ahead of time and refrigerated.,chill,cool,freeze,,
37,caprice,His sudden caprices are a real trial for our family.,vagary,whim,,,
37,halcyon,Voters are reluctant to risk throwing away their halcyon lifestyle by opting for change.,calm,peaceful,serene,tranquil,
37,halcyon,His business is still a far cry from returning to the halcyon days of the early 1990s.,golden,palmy,prosperous,,
37,blackmail,"After having sex with a married man, she tried to blackmail him for money.",intimidate,threaten,,,
37,premier,The premier singer's concert was packed with people.,leading,principal,chief,,
37,atheist,Some atheists believe that the world would be better off without religion.,infidel,unbeliever,,,
37,derive,The local community derived immense benefit from the government program for the poor.,get,obtain,receive,,
37,derive,These words derive from German.,originate,,,,
37,ramification,You must be willing and able to accept the ramification for your actions.,consequence,effect,,,
37,undue,The newspapers gave undue prominence to the story.,excessive,exorbitant,immoderate,inordinate,
37,bombshell,The news of the president's death was a bombshell.,jolt,shock,,,
37,disconsolate,The memory of her lost child made her disconsolate.,dejected,desolate,forlorn,woeful,
37,legible,The poster was written in letters big enough to be legible across the room.,clear,readable,,,
37,fancy,I cannot fancy their speaking ill of me.,conceive,picture,,,
37,actually,"He looks a bit weak, but actually he is very strong.",in fact,in reality,,,
37,clamor,Students created quite a clamor in the classroom when their teacher went to another place.,outcry,shout,tumult,uproar,
37,indifferent,The government cannot afford to be indifferent to public opinion.,aloof,apathetic,nonchalant,,
37,pertain,Your remark does not pertain to the question.,be relevant to,concern,relate to,,
37,sticky,Frogs' tongues are coated with a sticky substance.,adherent,adhesive,viscid,viscous,
37,jockey,The election race is heating up as presidential candidates and their political parties jockey for position.,maneuver,compete,jostle,,
37,vengeance,He swore vengeance on his child's killer.,reprisal,retaliation,retribution,revenge,
37,applicable,Applicable sales tax must be added to all orders.,appropriate,germane,pertinent,suitable,
37,downfall,"He rose from office boy to president, but that scandal caused his downfall.",fall,collapse,,,
37,moody,Moody people are very difficult to deal with.,capricious,fickle,temperamental,volatile,
37,garland,She deftly wove many flowers into a garland.,chaplet,crown,festoon,wreath,
37,confident,"Even though the scientists are confident about their new findings, they are wary of disclosing them until further testing.",certain,convinced,positive,,
37,confident,I feel confident that our team will win.,full-hearted,self-assured,,,
37,obtuse,I wondered if he was too obtuse to pick up what I was driving at.,insensible,stolid,,,
37,stretch,The girl stretched herself out on the bed.,extend,spread,,,
37,malingerer,Dr. Haycock prescribed a mixture of ammonium chloride and sugar which was the stock remedy for malingerers in the army.,dodger,goof-off,loafer,shirker,
37,inborn,"Linguistic competence is inborn, not acquired.",congenital,innate,inherent,natural,
37,paranoia,"One side effect of this drug is a general feeling of paranoia, coupled with a sensation of mental confusion.",delusion,,,,
37,cosset,"From the outset, Tom cosseted the girl.",coddle,pamper,pet,,
37,forefather,One of Mary's forefathers was a notorious pirate who predominated over the Atlantic Ocean.,ancestor,forebear,predecessor,progenitor,
37,tailor-made,It's possible to get this product tailor-made.,custom-built,customized,personalized,,
37,agenda,The next item on the agenda is the publicity budget.,list,plan,program,,
37,lame,His lame foot disqualified him for active work.,crippled,,,,
37,draft,She read the first draft from beginning to end.,manuscript,,,,
38,ambiguous,His ambiguous directions misled us; we did not know which of the two roads to take.,equivocal,obscure,vague,,
38,embed,Fossils are often found embedded in rock.,enclose,insert,,,
38,embed,Her image is embedded in my mind.,engrave,implant,,,
38,regal,He sat with such regal dignity.,imperial,royal,,,
38,regal,The general has a regal bearing.,magnificent,stately,,,
38,spark,The riots were sparked off by the arrest of a local leader.,provoke,stimulate,trigger,,
38,parsimonious,some of the richest peopple have the most parsimonious habits.,frugal,miserly,niggardly,penny-pinching,stingy
38,becoming,She did always wear a becoming blue dress.,flattering,fitting,,,
38,claim,Supporters of homeschooling claim it is a viable alternative to traditional school.,assert,insist,maintain,,
38,claim,The earthquake has already claimed more than one hundred lives.,do away with,kill,murder,,
38,uneven,Income inequality refers to the uneven distribution of wealth in a society.,irregular,unsteady,,,
38,delude,The theves deluded the old lady into thinking that they were telephone engineers.,deceive,fool,,,
38,perseverance,It takes great perseverance to climb a mountain.,endurance,patience,persistence,tenacity,
38,singular,I was awakened b a singular sound.,bizarre,strange,unusual,,
38,singular,She is a woman of singular beauty and intelligence.,extraordinary,outstanding,remarkable,unique,
38,autobiography,"If you do not like reading fiction, you might consider nonfiction books, like autobiographies and biographies.",memoirs,,,,
38,veteran,The Vietnam veteran was maimed in a fierce battle.,ex-serviceman,,,,
38,hamper,Faith in God does't hamper enjoyment of life.,block,disturb,hinder,impede,obstruct
38,tame,The dog was the first animal to be tamed by humans.,domesticated,trained,,,
38,pompous,He appears pompous but he is a good man underneath.,arrogant,pretentious,,,
38,rational,No rational person would behave like that.,judicious,reasonable,sensible,,
38,bombard,"We are bombarded by information: newspapers, magazines, television, and Internet.",barrage,batter,besiege,,
38,candidate,"Despite all the campaign efforts by the candidates of the opposing parties, the recent election was deominated by the President's men.",applicant,nominee,,,
38,fiscal,Most financial cmopanies finish their fiscal year in March.,financial,monetary,pecuniary,,
38,mutter,He muttered a few words of apology and with that he left.,mumble,murmur,complain,,
38,alchemy,"There is an alchemy in sorrow. It can be transmuted into wisdom, which can bring happiness.",witchcraft,wizardry,,,
38,remain,Remains of the Stone Age were excavated in the north area.,remainder,remnant,debris,,
38,sciolism,His superficial scientific treatises were filled with sciolisms and out moded data.,smattering,,,,
38,quash,"pirates demanded a ransom for the hostage, but they were quashed by the SWAT team.",crush,quell,subdue,suppress,
38,vile,Backbiting is such a vile deed.,contemptible,despicable,mean,,
38,vile,The vile smell pervaded the whole house.,offensive,horrible,,,
38,enslave,The barbaric tribe enslaved enemies they conquered.,enfetter,enthrall,,,
38,discerning,She was such a discerning librarian that she had the ability to know exactly which book would suit each one of the students.,discriminating,insightful,,,
38,savor,"if the salt ha lost its savor, wherewith shall it be salted?",flavor,relish,smack,taste,
38,deter,The heavy rain did not deter people from coming to the school play.,discourage,dissuade,,,
38,workout,I felt some discomfort after a heavy workout.,drill,exercise,practice,training,
38,extent,"Human action can be modified to some extent, but human nature cannot be changed.",degree,limit,measure,range,scope
38,concur,she didn't concur with his view in many points.,agree,approve,assent,consent,
38,comprehend,she could not comprehend how someone would risk people's lives in that way.,discern,fathom,grasp,understand,
38,comprehend,Science comprehends many disciplines.,contain,encompass,include,involve,
38,tenet,"One of the basic tenets of Judaism is the belief in a Messiah, God's messenger.",creed,doctrine,dogma,principle,
38,gauche,Mr. Brown is socially gauche and intellectually arrogant.,awkward,clumsy,unrefined,,
38,shaggy,The lion shook his shaggy mane and looked thoughtful.,hairy,unkempt,,,
38,discord,There is serious discord between the two neighbors.,disagreement,disharmony,,,
38,ache,The muscles in his legs ached after walking a long distance.,hurt,suffer,throb,,
38,leak,The earthquake caused radiation leaks at Fukushima Daiichi nuclear plant.,discharge,escape,,,
38,manifold,The challenges of the coming weeks are manifold.,diverse,numerous,various,,
38,induce,Nothing shall induce me to obey him.,encourage,persuade,urge,,
38,induce,The wrong public policies can induce recessions.,cause,produce,,,
39,encompass,His career spanned some 50years and encompassed both abstract and figurative painting.,comprise,contain,include,,
39,unique,"Each country has its unique history, geography, and climate.",particular,peculiar,singular,special,
39,philistine,The conference is full of philistines who care only for money and nothing for culture and the arts.,snob,,,,
39,season,This soup was seasoned with garlic and ginger.,flavor,salt,spice,,
39,dubious,"His manners must have been dubious, or she could not have been so misled.",doubtful,skeptical,suspicious,,
39,reorganize,Four thousand troops have been reorganized into a fighting force.,rearrange,reconstruct,restructure,revamp,
39,significance,The new drug has great significance for the treatment of the disease.,consequence,importance,,,
39,significance,She couldn't grasp the full significance of what he had said.,meaning,import,,,
39,avoidance,A person's health improves with the avoidance of stress.,averting,avasion,,,
39,reckless,"Much harm was done by the uncontrolled, reckless use of insecticides.",careless,heedless,irresponsible,,
39,behold,My heart leaps up when I behold a rainbow in the sky.,look at,observe,view,watch,
39,accustomed,People are accustomed to shopping online for virtually anything and comparing prices from multiple sites simultaneously.,familiar,,,,
39,wanton,His wanton conduct irritates me.,unrestrained,,,,
39,wanton,Heavier rainfall combined with thinner soils on the steep slopes and the wanton destruction of forests has led to widespread erosion in that region.,inhumane,merciless,,,
39,intimate,The estranged friends became intimate again.,close,familiar,,,
39,intimate,Issues like plastic surgery are intimate and personal.,private,confidential,,,
39,effervescent,He had such an effervescent personality and was always fun to be around.,buoyant,ebullient,enthusiastic,lively,
39,budget,"The education budget for next year is larger than ever, but the education field is complaining that it is not enough.",financial plan,,,,
39,glib,Former political rivals started issuing glib tributes as soon as her death was announced.,eloquent,fluent,slick,voluble,
39,desert,He deserted his family.,abandon,forsake,,,
39,chisel,The carpenters used traditional tools such as hammers and chisels to restore the gate.,burin,graver,,,
39,layoff,"in defence industries, sudden layoffs are common.",cutback,discharge,,,
39,obfuscate,The company determined to use the statistics to obfuscate its poor performances.,becloud,blur,obscure,,
